Span length [km],Fiber 1,Fiber 2,Fiber 3,Fiber 4
241.0,-2.2932533622910416,2.235323343169787,2.425506232806848,4.985118631907578
242.0,-2.4300996081429567,2.1191286846118107,2.304422890595866,4.887547938145664
243.0,-2.5665696699290947,2.0030451994495824,2.1832503522257305,4.779163948211633
244.0,-2.7030530709634757,1.8876609338151678,2.062008474939036,4.653634465375014
245.0,-2.7736318100412767,1.8512824799316734,2.0070146973068583,4.611371253578757
246.0,-2.9106117631026347,1.7229705423849744,1.8856877484487722,4.502286293115344
247.0,-3.047660837833366,1.6046363841395133,1.7643763606572822,4.393449405576167
248.0,-3.1848709027470417,1.490331010454634,1.643119756859396,4.285449942577502
249.0,-3.2549377578198158,1.44106903447424,1.589231537312422,4.246098829078209
250.0,-3.3924729355668717,1.3245325088468398,1.4678159804142048,4.140569536091127
251.0,-3.5512374576041505,1.1875696932219402,1.3160473050048243,4.01582089315837
252.0,-3.6205286199338484,1.1401752092800876,1.2608783356993705,3.9707982642904636
253.0,-3.7582749516828287,1.0239446152100076,1.1367793201014607,3.86396986196792
254.0,-3.896085639141475,0.9217733639547472,1.0120633033455082,3.757701737833349
255.0,-4.0339483795807585,0.8054871930666962,0.9110125999384167,3.64950902036082
256.0,-4.102358436129851,0.7597559158601097,0.8590240366398252,3.60776177619028
257.0,-4.240280140304968,0.6431346398514481,0.7375039645695214,3.4990051549123775
258.0,-4.378561302309835,0.5145519333009769,0.6159023366170704,3.395491039461377
